,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
699,flute,13.0,26880.0,11.0,3.6e-05
700,flute,61.0,59184.0,59.0,0.002153
701,flute,37.0,45883.0,35.0,0.001562
702,flute,68.0,59896.0,66.0,0.003466
703,flute,107.0,76526.0,105.0,0.003536
704,flute,91.0,71639.0,89.0,0.00507
705,flute,116.0,81467.0,114.0,0.005396
706,flute,33.0,43622.0,31.0,0.000484
707,flute,39.0,48697.0,37.0,0.00095
708,flute,97.0,72629.0,95.0,0.00536
709,flute,100.0,72306.0,98.0,0.007034
710,flute,119.0,85154.0,117.0,0.003934
711,flute,107.0,79750.0,105.0,0.009116
712,flute,94.0,72442.0,92.0,0.003164
713,flute,82.0,68521.0,80.0,0.002852
714,flute,72.0,62326.0,70.0,0.003017
715,flute,33.0,46160.0,31.0,0.000583
716,flute,8.0,19910.0,6.0,1e-06
717,flute,33.0,43395.0,31.0,0.00063
718,flute,112.0,76985.0,110.0,0.004828
719,flute,15.0,29384.0,13.0,8.1e-05
720,flute,38.0,49509.0,36.0,0.001533
721,flute,34.0,44227.0,32.0,0.000745
722,flute,20.0,32313.0,18.0,0.000244
723,flute,51.0,58847.0,49.0,0.001369
724,flute,108.0,78666.0,106.0,0.003376
725,flute,21.0,26941.0,19.0,0.000274
726,flute,27.0,39207.0,25.0,0.000482
727,flute,93.0,76093.0,91.0,0.007457
728,flute,109.0,76028.0,107.0,0.006672
729,flute,89.0,73549.0,87.0,0.003855
730,flute,51.0,57498.0,49.0,0.000852
731,flute,56.0,56179.0,54.0,0.001565
732,flute,12.0,28950.0,10.0,2.1e-05
733,flute,50.0,55295.0,48.0,0.001685
734,flute,102.0,70395.0,100.0,0.003738
735,flute,91.0,71778.0,89.0,0.005569
736,flute,82.0,64447.0,80.0,0.006633
737,flute,40.0,49932.0,38.0,0.001033
738,flute,36.0,47255.0,34.0,0.000444
739,flute,39.0,46344.0,37.0,0.001102
740,flute,84.0,72675.0,82.0,0.002529
741,flute,88.0,70306.0,86.0,0.00291
742,flute,80.0,70715.0,78.0,0.002887
743,flute,108.0,77977.0,106.0,0.004499
744,flute,59.0,59524.0,57.0,0.001742
745,flute,50.0,55452.0,48.0,0.000953
746,flute,65.0,63115.0,63.0,0.004562
747,flute,101.0,75488.0,99.0,0.005499
748,flute,26.0,37670.0,24.0,0.000551
749,flute,85.0,68630.0,83.0,0.004289
750,flute,113.0,79840.0,111.0,0.00599
751,flute,40.0,47512.0,38.0,0.00086
752,flute,18.0,37109.0,16.0,0.000158
753,flute,17.0,31247.0,15.0,0.000126
754,flute,14.0,28107.0,12.0,4.6e-05
755,flute,89.0,71630.0,87.0,0.005473
756,flute,103.0,77453.0,101.0,0.003547
757,flute,47.0,51552.0,45.0,0.002471
758,flute,10.0,19337.0,8.0,7e-06
759,flute,29.0,49075.0,27.0,0.000548
760,flute,89.0,72352.0,87.0,0.006394
761,flute,102.0,76524.0,100.0,0.006993
762,flute,91.0,69701.0,89.0,0.003987
763,flute,29.0,42379.0,27.0,0.00038
764,flute,16.0,32598.0,14.0,0.000101
765,flute,112.0,77444.0,110.0,0.006526
766,flute,59.0,59991.0,57.0,0.001706
767,flute,12.0,23816.0,10.0,2.3e-05
768,flute,95.0,74519.0,93.0,0.006663
769,flute,84.0,69389.0,82.0,0.003762
770,flute,86.0,69830.0,84.0,0.003019
771,flute,116.0,81660.0,114.0,0.00873
772,flute,43.0,48555.0,41.0,0.00229
773,flute,94.0,73298.0,92.0,0.005171
774,flute,26.0,37085.0,24.0,0.000599
