,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
28336,12,25718.0,10.0,1.7e-05,25718.0,10.0,0.000431,25718.0,10.0,0.239175
28337,12,23946.0,10.0,5e-06,23946.0,10.0,0.000255,23946.0,10.0,0.21642
28338,12,23475.0,10.0,2e-05,23475.0,10.0,0.00028,23475.0,10.0,0.292966
28339,12,23425.0,10.0,1.4e-05,23425.0,10.0,0.00019,23425.0,10.0,0.227658
28340,12,25658.0,10.0,2.2e-05,25658.0,10.0,0.000149,25658.0,10.0,0.251661
28341,12,29333.0,10.0,2.9e-05,29333.0,10.0,0.000363,29333.0,10.0,0.332
28342,12,23596.0,10.0,1.7e-05,23596.0,10.0,0.000217,23596.0,10.0,0.198191
28343,12,25781.0,10.0,1.8e-05,25781.0,10.0,0.000238,25781.0,10.0,0.322593
28344,12,26984.0,10.0,1.8e-05,26984.0,10.0,0.000329,26984.0,10.0,0.234651
28345,12,22433.0,10.0,1e-06,22433.0,10.0,0.000181,22433.0,10.0,0.189756
28346,12,25327.0,10.0,1.6e-05,25327.0,10.0,0.000214,25327.0,10.0,0.235912
28347,12,23346.0,10.0,1.8e-05,23346.0,10.0,0.000236,23346.0,10.0,0.238363
28348,12,21738.0,10.0,1.7e-05,21738.0,10.0,0.000139,21738.0,10.0,0.275931
28349,12,22073.0,10.0,1.4e-05,22073.0,10.0,0.000279,22073.0,10.0,0.338651
28350,12,31877.0,10.0,1.8e-05,31877.0,10.0,0.00036,31877.0,10.0,0.422999
28351,12,24064.0,10.0,1.5e-05,24064.0,10.0,0.000202,24064.0,10.0,0.300912
28352,12,27430.0,10.0,1.8e-05,27430.0,10.0,0.000208,27430.0,10.0,0.376719
28353,12,29485.0,10.0,1.7e-05,29485.0,10.0,0.000302,29485.0,10.0,0.218913
28354,12,27017.0,10.0,1.9e-05,27017.0,10.0,0.000227,27017.0,10.0,0.273616
28355,12,19149.0,10.0,2.1e-05,19149.0,10.0,0.000201,19149.0,10.0,0.315129
28356,12,26463.0,10.0,1.8e-05,26463.0,10.0,0.000322,26463.0,10.0,0.253697
28357,12,22100.0,10.0,1.7e-05,22100.0,10.0,0.000174,22100.0,10.0,0.388706
28358,12,26066.0,10.0,1.7e-05,26066.0,10.0,0.000236,26066.0,10.0,0.287805
28359,12,20027.0,10.0,1.9e-05,20027.0,10.0,0.000303,20027.0,10.0,0.395984
28360,12,26666.0,10.0,1.9e-05,26666.0,10.0,0.000194,26666.0,10.0,0.392633
28361,12,24455.0,10.0,1.9e-05,24455.0,10.0,0.000153,24455.0,10.0,0.329013
28362,12,20896.0,10.0,1.6e-05,20896.0,10.0,0.000254,20896.0,10.0,0.196242
28363,12,30552.0,10.0,2.7e-05,30552.0,10.0,0.000141,30552.0,10.0,0.308786
28364,12,25137.0,10.0,1.7e-05,25137.0,10.0,0.000377,25137.0,10.0,0.428881
28365,12,28731.0,10.0,1.8e-05,28731.0,10.0,0.000246,28731.0,10.0,0.342435
28366,12,26825.0,10.0,1.5e-05,26825.0,10.0,0.000242,26825.0,10.0,0.217303
28367,12,22810.0,10.0,1.5e-05,22810.0,10.0,0.000347,22810.0,10.0,0.242495
28368,12,21948.0,10.0,1.6e-05,21948.0,10.0,0.000471,21948.0,10.0,0.326292
28369,12,23347.0,10.0,1.7e-05,23347.0,10.0,0.000281,23347.0,10.0,0.306602
28370,12,27460.0,10.0,2.1e-05,27460.0,10.0,0.000343,27460.0,10.0,0.421702
